room_id;room_name;area_m2;component_type;component_id;object_type;x_m;y_m;z_m;x_norm;y_norm;z_norm
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zcew;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig 2;16.718750000001407;8.98857290014229;0.6250000000000001;-8.710801344749802e-05;0.38150976101325235;0.2314814814814815
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zcex;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk:wcd inbouw tweevoudig;16.718750000001407;9.599065994048209;1.225;-8.710801344749802e-05;0.48354771754106773;0.4537037037037037
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zceu;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig 2;16.718750000001503;8.97857290014229;2.075;-8.710801341407528e-05;0.3798383587067172;0.7685185185185185
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zcep;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig 2;16.718750000001407;7.118572900142288;0.6250000000000001;-8.710801344749802e-05;0.06895752969117296;0.2314814814814815
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zcem;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk:wcd inbouw tweevoudig;16.718750000001407;7.729065994048049;1.225;-8.710801344749802e-05;0.17099548621896177;0.4537037037037037
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;1_uIwJjeH7efmyhhu3zcen;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig 2;16.718750000001503;7.108572900142288;2.075;-8.710801341407528e-05;0.06728612738463781;0.7685185185185185
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0d3$$WymLAff9scBgfUVSw;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig;19.593400000000607;8.508572900142289;2.075;1.001533101045508;0.3012824502995635;0.7685185185185185
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0d3$$WymLAff9scBgfUVSz;62_EF_wcd_inbouw_enkelvoudig2:wcd enkelvoudig;19.584400000000304;8.498572900142289;0.6250000000000001;0.9983972125436605;0.29961104799302835;0.2314814814814815
1S$f5UJPL6lvvbafDPKexp;0.12a;17.171209999999984;socket;0d3$$WymLAff9scBgfUVSy;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk:wcd inbouw tweevoudig;19.589999999999804;7.888572900142289;1.225;1.0003484320556815;0.19765550729438214;0.4537037037037037
1S$f5UJPL6lvvbafDPKexq;0.12b;3.736533604799498;socket;39TNNt2NLD$gJb58MtKdIs;62_EF_wcd_opbouw_enkelvoudig:wcd opbouw enkelvoudig;12.600085113043106;12.689072900142689;1.8750000000000002;0.46905264195512925;1.0000253147470053;0.6944444444444445
