room_id;room_name;room_length;room_width;room_height;lamp_id;lamp_name;x;y;z;x_norm;y_norm;z_norm
37VWGMOVT9FOlS6Zj$wGJ2;1.11b;2.6474999999997983;2.1605000000059675;2.7000000000000006;1zKITG9c55a8VntybRzk41;63_LF_Trilux Aviella C07 OA 2000-830:TR1:3336727;21.526;50.489000000000004;5.6450000000000005;0.497639282340396;0.5091414024517696;0.8962962962962963
37VWGMOVT9FOlS6Zj$wGJ2;1.11b;2.6474999999997983;2.1605000000059675;2.7000000000000006;0iI5878YvCvg6hzk4LUuyH;63_LF_Norton_WDO-SV-RS 28W:N1:3732081;21.911;49.987;2.6;0.6430594900835616;0.2767877806056156;-0.23148148148148143
37VWGMOVT9FOlS6Zj$wGJ3;1.01a;4.10599999999576;2.956749999999573;2.7000000000000006;0$SMXsjU51Ke549i4V22JJ;63_LF_Sylvania start eco surf mw2050 840:S1:3331704;2.949;37.996;5.825;0.47564539698059655;0.5380062568699204;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJD;1.01c;1.7460000000008709;0.912550000001275;2.7000000000000006;0$SMXsjU51Ke549i4V22Gj;63_LF_Focon_FO641:F1:3331718;6.16224999999579;36.431249999996695;5.825;0.5499713631132569;0.27812174674959916;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJF;1.03c;1.7460000000008193;0.9110000000012626;2.7000000000000006;0$SMXsjU51Ke549i4V22CA;63_LF_Focon_FO641:F1:3330465;6.16224999999579;23.231249999996702;5.825;0.5499713631132583;0.2779912184372978;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJ9;1.02c;1.7460000000008193;0.9110000000012626;2.7000000000000006;0$SMXsjU51Ke549i4V22FJ;63_LF_Focon_FO641:F1:3330424;6.16224999999579;29.8312499999967;5.825;0.5499713631132583;0.27799121843729385;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJB;1.04c;1.7460000000008193;0.9110000000012697;2.7000000000000006;0$SMXsjU51Ke549i4V22DX;63_LF_Focon_FO641:F1:3330506;6.16224999999579;16.6312499999967;5.825;0.5499713631132583;0.2779912184372995;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJL;1.05c;1.7460000000007998;0.9110000000012732;2.7000000000000006;0$SMXsjU51Ke549i4V22DO;63_LF_Focon_FO641:F1:3330547;6.16224999999579;10.031249999996701;5.825;0.5499713631132589;0.2779912184372984;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJM;1.05;6.866;3.1852500000017905;2.7000000000000006;0$SMXsjU51Ke549i4V22Dq;64_DD_ledige leiding:ledige leiding:3330527;1.786;9.88124999999992;3.525;0.11505971453539174;0.9999999999996046;0.11111111111111102
37VWGMOVT9FOlS6Zj$wGJM;1.05;6.866;3.1852500000017905;2.7000000000000006;0$SMXsjU51Ke549i4V22DD;63_LF_Sylvania start eco surf mw2050 840:S1:3330534;6.6240000000000006;8.206;5.825;0.8196912321584621;0.4740601208695588;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJM;1.05;6.866;3.1852500000017905;2.7000000000000006;0$SMXsjU51Ke549i4V22DC;63_LF_Sylvania start eco surf mw2050 840:S1:3330535;2.8040000000000003;8.206;5.825;0.26332653655694727;0.4740601208695588;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJM;1.05;6.866;3.1852500000017905;2.7000000000000006;1$Wz2757PFMQSG7lnVEyjN;64_DD_ledige leiding:ledige leiding:3828950;2.036;9.88124999999992;3.525;0.1514710166035537;0.9999999999996046;0.11111111111111102
37VWGMOVT9FOlS6Zj$wGJM;1.05;6.866;3.1852500000017905;2.7000000000000006;0EJTPuUQ5AHQ$Jse36Y6Wm;64_DD_ledige leiding:ledige leiding:4082453;6.969;9.677749999999952;5.625;0.8699388290125255;0.9361117651672198;0.8888888888888886
37VWGMOVT9FOlS6Zj$wGJN;1.01;6.8659999999958305;3.2012500000017;2.7000000000000006;0$SMXsjU51Ke549i4V22JP;64_DD_ledige leiding:ledige leiding:3331698;1.786;36.2812499999999;3.525;0.11505971453548941;0.9999999999995717;0.11111111111111102
37VWGMOVT9FOlS6Zj$wGJN;1.01;6.8659999999958305;3.2012500000017;2.7000000000000006;0$SMXsjU51Ke549i4V22JI;63_LF_Sylvania start eco surf mw2050 840:S1:3331705;6.6240000000000006;34.606;5.825;0.8196912321589875;0.4766887934399436;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJN;1.01;6.8659999999958305;3.2012500000017;2.7000000000000006;0$SMXsjU51Ke549i4V22JH;63_LF_Sylvania start eco surf mw2050 840:S1:3331706;2.724;34.606;5.825;0.25167491989531604;0.4766887934399436;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJN;1.01;6.8659999999958305;3.2012500000017;2.7000000000000006;1$Wz2757PFMQSG7lnVEyit;64_DD_ledige leiding:ledige leiding:3828918;2.036;36.2812499999999;3.525;0.1514710166036735;0.9999999999995717;0.11111111111111102
37VWGMOVT9FOlS6Zj$wGJN;1.01;6.8659999999958305;3.2012500000017;2.7000000000000006;0EJTPuUQ5AHQ$Jse36Y6dc;64_DD_ledige leiding:ledige leiding:4082371;6.9670000000000005;36.07775;5.625;0.8696475385965361;0.9364310816083836;0.8888888888888886
37VWGMOVT9FOlS6Zj$wGJG;1.02a;4.10599999999576;2.9727500000000617;2.7000000000000006;0$SMXsjU51Ke549i4V22F1;63_LF_Sylvania start eco surf mw2050 840:S1:3330410;2.949;31.396;5.825;0.4756453969805863;0.535110587839505;0.9629629629629628
37VWGMOVT9FOlS6Zj$wGJH;1.02;6.8659999999958305;3.2012500000016892;2.7000000000000006;0$SMXsjU51Ke549i4V22FF;64_DD_ledige leiding:ledige leiding:3330404;1.786;29.681249999999903;3.525;0.11505971453548798;0.999999999999576;0.11111111111111102
37VWGMOVT9FOlS6Zj$wGJH;1.02;6.8659999999958305;3.2012500000016892;2.7000000000000006;0$SMXsjU51Ke549i4V22F0;63_LF_Sylvania start eco surf mw2050 840:S1:3330411;6.6240000000000006;28.006;5.825;0.8196912321589862;0.47668879343994514;0.9629629629629628
